DATE,RMBSSD678FRBCLE
2007-01-01,5.77
2007-01-02,5.64
2007-01-03,5.57
2007-01-04,5.52
2007-01-05,5.54
2007-01-08,5.57
2007-01-09,5.55
2007-01-10,5.54
2007-01-11,5.51
2007-01-12,5.42
2007-01-15,5.32
2007-01-16,5.23
2007-01-17,5.06
2007-01-18,4.84
2007-01-19,4.65
2007-01-22,4.46
2007-01-23,4.20
2007-01-24,4.00
2007-01-25,3.80
2007-01-26,3.66
2007-01-29,3.50
2007-01-30,3.33
2007-01-31,3.28
2007-02-01,3.16
2007-02-02,3.07
2007-02-05,2.98
2007-02-06,3.01
2007-02-07,3.07
2007-02-08,3.21
2007-02-09,3.33
2007-02-12,3.45
2007-02-13,3.53
2007-02-14,3.60
2007-02-15,3.74
2007-02-16,3.92
2007-02-19,4.09
2007-02-20,4.21
2007-02-21,4.29
2007-02-22,4.30
2007-02-23,4.41
2007-02-26,4.63
2007-02-27,5.04
2007-02-28,5.27
2007-03-01,5.48
2007-03-02,5.73
2007-03-05,5.99
2007-03-06,6.17
2007-03-07,6.43
2007-03-08,6.69
2007-03-09,6.76
2007-03-12,6.78
2007-03-13,6.70
2007-03-14,6.66
2007-03-15,6.59
2007-03-16,6.46
2007-03-19,6.28
2007-03-20,6.18
2007-03-21,5.99
2007-03-22,5.77
2007-03-23,5.61
2007-03-26,5.46
2007-03-27,5.21
2007-03-28,4.98
2007-03-29,4.74
2007-03-30,4.50
2007-04-02,4.29
2007-04-03,4.07
2007-04-04,3.88
2007-04-05,3.74
2007-04-06,3.58
2007-04-09,3.40
2007-04-10,3.28
2007-04-11,3.19
2007-04-12,3.10
2007-04-13,2.99
2007-04-16,2.92
2007-04-17,2.92
2007-04-18,2.94
2007-04-19,2.99
2007-04-20,3.07
2007-04-23,3.18
2007-04-24,3.27
2007-04-25,3.34
2007-04-26,3.36
2007-04-27,3.40
2007-04-30,3.48
2007-05-01,3.51
2007-05-02,3.50
2007-05-03,3.49
2007-05-04,3.54
2007-05-07,3.58
2007-05-08,3.58
2007-05-09,3.57
2007-05-10,3.64
2007-05-11,3.67
2007-05-14,3.60
2007-05-15,3.51
2007-05-16,3.42
2007-05-17,3.32
2007-05-18,3.14
2007-05-21,2.95
2007-05-22,2.76
2007-05-23,2.59
2007-05-24,2.42
2007-05-25,2.28
2007-05-28,2.16
2007-05-29,2.04
2007-05-30,1.93
2007-05-31,1.86
2007-06-01,1.81
2007-06-04,1.76
2007-06-05,1.72
2007-06-06,1.69
2007-06-07,1.62
2007-06-08,1.56
2007-06-11,1.49
2007-06-12,1.40
2007-06-13,1.32
2007-06-14,1.25
2007-06-15,1.20
2007-06-18,1.14
2007-06-19,1.11
2007-06-20,1.08
2007-06-21,1.05
2007-06-22,1.04
2007-06-25,1.05
2007-06-26,1.09
2007-06-27,1.11
2007-06-28,1.13
2007-06-29,1.16
2007-07-02,1.20
2007-07-03,1.21
2007-07-04,1.24
2007-07-05,1.26
2007-07-06,1.25
2007-07-09,1.25
2007-07-10,1.26
2007-07-11,1.27
2007-07-12,1.26
2007-07-13,1.25
2007-07-16,1.24
2007-07-17,1.24
2007-07-18,1.24
2007-07-19,1.27
2007-07-20,1.31
2007-07-23,1.35
2007-07-24,1.38
2007-07-25,1.42
2007-07-26,1.51
2007-07-27,1.63
2007-07-30,1.70
2007-07-31,1.84
2007-08-01,1.94
2007-08-02,2.05
2007-08-03,2.19
2007-08-06,2.27
2007-08-07,2.32
2007-08-08,2.30
2007-08-09,2.25
2007-08-10,2.17
2007-08-13,2.13
2007-08-14,2.03
2007-08-15,1.95
2007-08-16,1.90
2007-08-17,1.77
2007-08-20,1.71
2007-08-21,1.68
2007-08-22,1.71
2007-08-23,1.75
2007-08-24,1.84
2007-08-27,1.93
2007-08-28,2.03
2007-08-29,2.11
2007-08-30,2.22
2007-08-31,2.37
2007-09-03,2.50
2007-09-04,2.62
2007-09-05,2.82
2007-09-06,2.96
2007-09-07,3.15
2007-09-10,3.43
2007-09-11,3.69
2007-09-12,3.93
2007-09-13,4.04
2007-09-14,4.15
2007-09-17,4.30
2007-09-18,4.35
2007-09-19,4.21
2007-09-20,4.03
2007-09-21,3.80
2007-09-24,3.47
2007-09-25,3.14
2007-09-26,2.86
2007-09-27,2.71
2007-09-28,2.54
2007-10-01,2.41
2007-10-02,2.40
2007-10-03,2.47
2007-10-04,2.67
2007-10-05,2.69
2007-10-08,2.72
2007-10-09,2.75
2007-10-10,2.77
2007-10-11,2.73
2007-10-12,2.67
2007-10-15,2.53
2007-10-16,2.37
2007-10-17,2.33
2007-10-18,2.29
2007-10-19,2.48
2007-10-22,2.66
2007-10-23,2.84
2007-10-24,3.09
2007-10-25,3.28
2007-10-26,3.48
2007-10-29,3.75
2007-10-30,3.98
2007-10-31,4.08
2007-11-01,4.27
2007-11-02,4.44
2007-11-05,4.55
2007-11-06,4.61
2007-11-07,4.64
2007-11-08,4.70
2007-11-09,4.89
2007-11-12,5.03
2007-11-13,5.15
2007-11-14,5.38
2007-11-15,5.57
2007-11-16,5.66
2007-11-19,5.90
2007-11-20,6.19
2007-11-21,6.51
2007-11-22,6.85
2007-11-23,7.13
2007-11-26,7.60
2007-11-27,8.02
2007-11-28,8.29
2007-11-29,8.58
2007-11-30,8.81
2007-12-03,9.03
2007-12-04,9.22
2007-12-05,9.18
2007-12-06,9.11
2007-12-07,8.82
2007-12-10,8.25
2007-12-11,8.04
2007-12-12,7.82
2007-12-13,7.28
2007-12-14,6.80
2007-12-17,6.37
2007-12-18,6.05
2007-12-19,6.05
2007-12-20,6.04
2007-12-21,6.02
2007-12-24,6.02
2007-12-25,5.76
2007-12-26,5.55
2007-12-27,5.60
2007-12-28,5.86
2007-12-31,6.00
2008-01-01,6.07
2008-01-02,6.22
2008-01-03,6.40
2008-01-04,6.69
2008-01-07,7.12
2008-01-08,7.59
2008-01-09,8.11
2008-01-10,8.31
2008-01-11,8.45
2008-01-14,8.58
2008-01-15,8.90
2008-01-16,8.85
2008-01-17,8.99
2008-01-18,9.13
2008-01-21,9.18
2008-01-22,9.30
2008-01-23,9.29
2008-01-24,9.38
2008-01-25,9.56
2008-01-28,9.70
2008-01-29,9.53
2008-01-30,9.43
2008-01-31,9.32
2008-02-01,9.27
2008-02-04,9.10
2008-02-05,8.91
2008-02-06,8.85
2008-02-07,8.60
2008-02-08,8.32
2008-02-11,8.09
2008-02-12,7.91
2008-02-13,7.61
2008-02-14,7.06
2008-02-15,6.59
2008-02-18,6.28
2008-02-19,5.75
2008-02-20,5.37
2008-02-21,5.36
2008-02-22,5.14
2008-02-25,4.77
2008-02-26,4.49
2008-02-27,4.36
2008-02-28,4.54
2008-02-29,4.83
2008-03-03,5.05
2008-03-04,5.28
2008-03-05,5.30
2008-03-06,5.47
2008-03-07,5.53
2008-03-10,5.86
2008-03-11,6.12
2008-03-12,6.56
