DATE,QUSNAM770A
1952-01-01,29.8
1952-04-01,30.1
1952-07-01,30.4
1952-10-01,30.6
1953-01-01,30.5
1953-04-01,30.3
1953-07-01,30.2
1953-10-01,30.2
1954-01-01,30.6
1954-04-01,31.0
1954-07-01,31.5
1954-10-01,31.7
1955-01-01,31.5
1955-04-01,31.7
1955-07-01,31.6
1955-10-01,32.0
1956-01-01,32.2
1956-04-01,32.6
1956-07-01,32.8
1956-10-01,33.1
1957-01-01,33.2
1957-04-01,33.6
1957-07-01,33.6
1957-10-01,34.0
1958-01-01,34.5
1958-04-01,35.0
1958-07-01,35.3
1958-10-01,35.8
1959-01-01,35.5
1959-04-01,35.7
1959-07-01,35.5
1959-10-01,35.8
1960-01-01,35.9
1960-04-01,36.4
1960-07-01,36.4
1960-10-01,37.0
1961-01-01,37.3
1961-04-01,37.8
1961-07-01,37.9
1961-10-01,38.2
1962-01-01,37.8
1962-04-01,38.1
1962-07-01,38.0
1962-10-01,38.5
1963-01-01,38.6
1963-04-01,39.1
1963-07-01,39.0
1963-10-01,39.6
1964-01-01,39.3
1964-04-01,39.7
1964-07-01,39.6
1964-10-01,40.1
1965-01-01,40.3
1965-04-01,40.8
1965-07-01,40.7
1965-10-01,40.9
1966-01-01,41.0
1966-04-01,41.6
1966-07-01,41.4
1966-10-01,41.6
1967-01-01,41.9
1967-04-01,42.6
1967-07-01,42.7
1967-10-01,43.1
1968-01-01,43.4
1968-04-01,43.6
1968-07-01,43.5
1968-10-01,43.9
1969-01-01,44.0
1969-04-01,44.7
1969-07-01,44.8
1969-10-01,45.3
1970-01-01,45.9
1970-04-01,46.9
1970-07-01,47.2
1970-10-01,47.7
1971-01-01,47.7
1971-04-01,48.3
1971-07-01,48.4
1971-10-01,48.4
1972-01-01,48.6
1972-04-01,49.1
1972-07-01,49.1
1972-10-01,49.6
1973-01-01,50.0
1973-04-01,50.7
1973-07-01,51.0
1973-10-01,51.0
1974-01-01,51.5
1974-04-01,52.6
1974-07-01,52.8
1974-10-01,53.1
1975-01-01,52.6
1975-04-01,52.4
1975-07-01,51.6
1975-10-01,51.1
1976-01-01,50.2
1976-04-01,50.0
1976-07-01,49.6
1976-10-01,49.7
1977-01-01,50.0
1977-04-01,50.4
1977-07-01,50.1
1977-10-01,50.4
1978-01-01,50.6
1978-04-01,50.8
1978-07-01,50.5
1978-10-01,50.4
1979-01-01,50.2
1979-04-01,50.9
1979-07-01,51.1
1979-10-01,51.1
1980-01-01,51.4
1980-04-01,51.2
1980-07-01,51.3
1980-10-01,51.6
1981-01-01,51.3
1981-04-01,51.7
1981-07-01,51.7
1981-10-01,51.7
1982-01-01,52.4
1982-04-01,53.2
1982-07-01,53.9
1982-10-01,54.1
1983-01-01,54.7
1983-04-01,54.9
1983-07-01,54.8
1983-10-01,54.9
1984-01-01,55.2
1984-04-01,56.1
1984-07-01,56.4
1984-10-01,57.5
1985-01-01,57.6
1985-04-01,58.3
1985-07-01,58.3
1985-10-01,59.3
1986-01-01,59.8
1986-04-01,60.7
1986-07-01,61.3
1986-10-01,62.6
1987-01-01,63.2
1987-04-01,63.6
1987-07-01,63.8
1987-10-01,64.0
1988-01-01,64.4
1988-04-01,64.8
1988-07-01,64.7
1988-10-01,65.1
1989-01-01,65.0
1989-04-01,65.2
1989-07-01,64.6
1989-10-01,64.6
1990-01-01,64.6
1990-04-01,64.4
1990-07-01,63.9
1990-10-01,63.3
1991-01-01,62.7
1991-04-01,62.3
1991-07-01,61.2
1991-10-01,59.9
1992-01-01,59.3
1992-04-01,58.5
1992-07-01,57.5
1992-10-01,56.4
1993-01-01,56.2
1993-04-01,56.1
1993-07-01,55.7
1993-10-01,55.5
1994-01-01,55.8
1994-04-01,55.6
1994-07-01,55.3
1994-10-01,55.1
1995-01-01,55.4
1995-04-01,55.9
1995-07-01,55.7
1995-10-01,55.9
1996-01-01,56.0
1996-04-01,56.2
1996-07-01,56.0
1996-10-01,55.6
1997-01-01,55.8
1997-04-01,56.1
1997-07-01,56.5
1997-10-01,56.8
1998-01-01,57.7
1998-04-01,58.9
1998-07-01,59.4
1998-10-01,60.0
1999-01-01,61.0
1999-04-01,61.4
1999-07-01,62.5
1999-10-01,62.7
2000-01-01,63.5
2000-04-01,64.2
2000-07-01,64.1
2000-10-01,64.2
2001-01-01,64.0
2001-04-01,64.6
2001-07-01,64.8
2001-10-01,65.0
2002-01-01,64.9
2002-04-01,64.8
2002-07-01,64.4
2002-10-01,64.3
2003-01-01,63.8
2003-04-01,63.4
2003-07-01,62.9
2003-10-01,62.0
2004-01-01,62.2
2004-04-01,61.8
2004-07-01,61.8
