DATE,RMBSSD678FRBCLE
2000-01-03,0.12
2000-01-04,0.25
2000-01-05,0.37
2000-01-06,0.51
2000-01-07,0.64
2000-01-10,0.77
2000-01-11,0.88
2000-01-12,0.98
2000-01-13,1.09
2000-01-14,1.20
2000-01-17,1.19
2000-01-18,1.15
2000-01-19,1.14
2000-01-20,1.11
2000-01-21,1.08
2000-01-24,1.06
2000-01-25,1.07
2000-01-26,1.09
2000-01-27,1.13
2000-01-28,1.20
2000-01-31,1.26
2000-02-01,1.36
2000-02-02,1.55
2000-02-03,1.85
2000-02-04,2.04
2000-02-07,2.19
2000-02-08,2.41
2000-02-09,2.55
2000-02-10,2.61
2000-02-11,2.74
2000-02-14,2.90
2000-02-15,3.01
2000-02-16,3.02
2000-02-17,2.96
2000-02-18,3.05
2000-02-21,3.17
2000-02-22,3.27
2000-02-23,3.40
2000-02-24,3.58
2000-02-25,3.65
2000-02-28,3.67
2000-02-29,3.74
2000-03-01,3.80
2000-03-02,3.83
2000-03-03,3.82
2000-03-06,3.81
2000-03-07,3.75
2000-03-08,3.70
2000-03-09,3.68
2000-03-10,3.64
2000-03-13,3.66
2000-03-14,3.69
2000-03-15,3.76
2000-03-16,3.84
2000-03-17,3.94
2000-03-20,4.06
2000-03-21,4.20
2000-03-22,4.38
2000-03-23,4.58
2000-03-24,4.73
2000-03-27,4.90
2000-03-28,4.99
2000-03-29,5.09
2000-03-30,5.23
2000-03-31,5.37
2000-04-03,5.54
2000-04-04,5.70
2000-04-05,5.84
2000-04-06,5.94
2000-04-07,6.18
2000-04-10,6.42
2000-04-11,6.59
2000-04-12,6.70
2000-04-13,6.76
2000-04-14,6.79
2000-04-17,6.67
2000-04-18,6.54
2000-04-19,6.48
2000-04-20,6.42
2000-04-21,6.30
2000-04-24,6.12
2000-04-25,5.96
2000-04-26,5.84
2000-04-27,5.69
2000-04-28,5.55
2000-05-01,5.51
2000-05-02,5.44
2000-05-03,5.23
2000-05-04,5.00
2000-05-05,4.74
2000-05-08,4.48
2000-05-09,4.28
2000-05-10,4.13
2000-05-11,4.02
2000-05-12,3.85
2000-05-15,3.75
2000-05-16,3.68
2000-05-17,3.64
2000-05-18,3.59
2000-05-19,3.57
2000-05-22,3.60
2000-05-23,3.64
2000-05-24,3.59
2000-05-25,3.60
2000-05-26,3.69
2000-05-29,3.75
2000-05-30,3.75
2000-05-31,3.88
2000-06-01,4.08
2000-06-02,4.25
2000-06-05,4.43
2000-06-06,4.60
2000-06-07,4.81
2000-06-08,4.98
2000-06-09,5.10
2000-06-12,5.23
2000-06-13,5.31
2000-06-14,5.35
2000-06-15,5.32
2000-06-16,5.36
2000-06-19,5.37
2000-06-20,5.36
2000-06-21,5.29
2000-06-22,5.21
2000-06-23,5.06
2000-06-26,4.95
2000-06-27,4.95
2000-06-28,4.91
2000-06-29,4.97
2000-06-30,4.95
2000-07-03,4.97
2000-07-04,4.99
2000-07-05,5.07
2000-07-06,5.10
2000-07-07,5.23
2000-07-10,5.30
2000-07-11,5.34
2000-07-12,5.38
2000-07-13,5.41
2000-07-14,5.42
2000-07-17,5.38
2000-07-18,5.36
2000-07-19,5.32
2000-07-20,5.40
2000-07-21,5.47
2000-07-24,5.54
2000-07-25,5.61
2000-07-26,5.67
2000-07-27,5.71
2000-07-28,5.79
2000-07-31,5.90
2000-08-01,6.06
2000-08-02,6.17
2000-08-03,6.23
2000-08-04,6.29
2000-08-07,6.32
2000-08-08,6.37
2000-08-09,6.41
2000-08-10,6.47
2000-08-11,6.52
2000-08-14,6.58
2000-08-15,6.57
2000-08-16,6.57
2000-08-17,6.59
2000-08-18,6.60
2000-08-21,6.63
2000-08-22,6.64
2000-08-23,6.69
2000-08-24,6.71
2000-08-25,6.74
2000-08-28,6.69
2000-08-29,6.65
2000-08-30,6.66
2000-08-31,6.69
2000-09-01,6.70
2000-09-04,6.72
2000-09-05,6.76
2000-09-06,6.71
2000-09-07,6.64
2000-09-08,6.60
2000-09-11,6.59
2000-09-12,6.58
2000-09-13,6.56
2000-09-14,6.41
2000-09-15,6.16
2000-09-18,5.87
2000-09-19,5.64
2000-09-20,5.39
2000-09-21,5.19
2000-09-22,4.97
2000-09-25,4.79
2000-09-26,4.67
2000-09-27,4.49
2000-09-28,4.41
2000-09-29,4.40
2000-10-02,4.41
2000-10-03,4.37
